title,url,release_date,tom_score,pop_score,scraped_from_genre,genres,cast_crew,ld_actors,ld_directors
The Lost Bus,https://www.rottentomatoes.com/m/the_lost_bus,N/A,0%,0%,Action,"['Mystery & Thriller', 'Drama']","[{'info': 'Paul Greengrass, Director'}, {'info': 'Matthew McConaughey, Kevin McKay'}, {'info': 'America Ferrera, Mary Ludwig'}, {'info': 'Yul Vazquez, Ray Martinez'}, {'info': 'Ashlie Atkinson, Ruby'}, {'info': 'Spencer Watson, Hopkins'}]","['Matthew McConaughey', 'America Ferrera', 'Yul Vazquez', 'Ashlie Atkinson', 'Spencer Watson']",['Paul Greengrass']
Plainclothes,https://www.rottentomatoes.com/m/plainclothes,N/A,0%,0%,Action,"['Drama', 'Romance', 'Mystery & Thriller', 'Crime', 'LGBTQ+']","[{'info': 'Carmen Emmi, Director'}, {'info': 'Tom Blyth, Lucas'}, {'info': 'Russell Tovey, Andrew'}, {'info': 'Maria Dizzia, Marie'}, {'info': 'Christian Cooke, Ron'}, {'info': 'Gabe Fazio, Uncle Paul'}]","['Tom Blyth', 'Russell Tovey', 'Maria Dizzia', 'Christian Cooke', 'Gabe Fazio']",['Carmen Emmi']
Steve,https://www.rottentomatoes.com/m/steve_2025,N/A,0%,0%,Action,['Drama'],"[{'info': 'Tim Mielants, Director'}, {'info': 'Cillian Murphy, Steve'}, {'info': 'Tracey Ullman, Actor'}, {'info': 'Jay Lycurgo, Actor'}, {'info': 'Little Simz, Actor'}, {'info': 'Emily Watson, Actor'}]","['Cillian Murphy', 'Tracey Ullman', 'Jay Lycurgo', 'Little Simz', 'Emily Watson']",['Tim Mielants']
Mantis,https://www.rottentomatoes.com/m/mantis_2025,"Streaming Sep 26, 2025",0%,0%,Action,"['Action', 'Mystery & Thriller']","[{'info': 'Lee Tae-sung, Director'}, {'info': 'Yim Si-wan, Actor'}, {'info': 'Park Gyu-young, Actor'}, {'info': 'Jo Woo-jin, Actor'}, {'info': 'Lee Tae-sung, Screenwriter'}, {'info': 'Byun Sung-hyun, Screenwriter'}]","['Yim Si-wan', 'Park Gyu-young', 'Jo Woo-jin']",['Lee Tae-sung']
Superman,https://www.rottentomatoes.com/m/superman_2025,"Streaming Aug 15, 2025",83%,90%,Action,"['Action', 'Adventure', 'Sci-Fi', 'Fantasy']","[{'info': 'James Gunn, Director'}, {'info': 'David Corenswet, Superman'}, {'info': 'Rachel Brosnahan, Lois Lane'}, {'info': 'Nicholas Hoult, Lex Luthor'}, {'info': 'Edi Gathegi, Mr. Terrific'}, {'info': 'Anthony Carrigan, Metamorpho'}]","['David Corenswet', 'Rachel Brosnahan', 'Nicholas Hoult', 'Edi Gathegi', 'Anthony Carrigan']",['James Gunn']
Relay,https://www.rottentomatoes.com/m/relay,"Streaming Sep 16, 2025",78%,89%,Action,"['Mystery & Thriller', 'Action']","[{'info': 'David Mackenzie, Director'}, {'info': 'Riz Ahmed, Tom'}, {'info': 'Lily James, Sarah'}, {'info': 'Sam Worthington, Dawson'}, {'info': 'Willa Fitzgerald, Rosetti'}, {'info': 'Jared Abrahamson, Ryan'}]","['Riz Ahmed', 'Lily James', 'Sam Worthington', 'Willa Fitzgerald', 'Jared Abrahamson']",['David Mackenzie']
Warfare,https://www.rottentomatoes.com/m/warfare,"Streaming May 6, 2025",93%,93%,Action,"['Action', 'War', 'Mystery & Thriller', 'Drama']","[{'info': 'Ray Mendoza, Director'}, {'info': 'Alex Garland, Director'}, {'info': ""D'Pharaoh Woon-A-Tai, Ray""}, {'info': 'Will Poulter, Erik'}, {'info': 'Cosmo Jarvis, Elliott'}, {'info': 'Kit Connor, Tommy'}]","[""D'Pharaoh Woon-A-Tai"", 'Will Poulter', 'Cosmo Jarvis', 'Kit Connor']","['Ray Mendoza', 'Alex Garland']"
The Naked Gun,https://www.rottentomatoes.com/m/the_naked_gun_2025,"Streaming Sep 2, 2025",88%,73%,Action,"['Comedy', 'Action', 'Crime']","[{'info': 'Akiva Schaffer, Director'}, {'info': 'Liam Neeson, Frank Drebin Jr.'}, {'info': 'Pamela Anderson, Beth Davenport'}, {'info': 'Paul Walter Hauser, Ed Hocken Jr.'}, {'info': 'CCH Pounder, Chief Davis'}, {'info': 'Kevin Durand, Sig Gustafson'}]","['Liam Neeson', 'Pamela Anderson', 'Paul Walter Hauser', 'CCH Pounder', 'Kevin Durand']",['Akiva Schaffer']
KPop Demon Hunters,https://www.rottentomatoes.com/m/kpop_demon_hunters,"Streaming Jun 20, 2025",95%,99%,Action,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Animation']","[{'info': 'Chris Appelhans, Director'}, {'info': 'Maggie Kang, Director'}, {'info': 'Arden Cho, Rumi'}, {'info': 'Ahn Hyo-seop, Jinu'}, {'info': 'May Hong, Mira'}, {'info': 'Ji-young Yoo, Zoey'}]",[],"['Chris Appelhans', 'Maggie Kang']"
Ice Road: Vengeance,https://www.rottentomatoes.com/m/ice_road_vengeance,"Streaming Jul 1, 2025",14%,27%,Action,"['Action', 'Mystery & Thriller']","[{'info': 'Jonathan Hensleigh, Director'}, {'info': 'Liam Neeson, Mike McCann'}, {'info': 'Fan Bingbing, Dhani'}, {'info': 'Marcus Thomas, Actor'}, {'info': 'Mahesh Jadu, Rudra Yash'}, {'info': 'Michala Banas, V.A Shrink'}]","['Liam Neeson', 'Fan Bingbing', 'Marcus Thomas', 'Mahesh Jadu', 'Michala Banas']",['Jonathan Hensleigh']
